選區,參選人,網址,FB_ID,讚數,藍勾勾,建立日期,管理員國家,改名次數
桃園市第三選舉區,魯明哲,https://www.facebook.com/taoyuan.jackru/,157793094819088,19097,blue_verified,2018-02-23,"Taiwan (5)",3
桃園市第三選舉區,彭俊豪,https://www.facebook.com/pengwintaoyuan/,485136741630414,6267,blue_verified,2014-07-15,"Taiwan (8)",10
桃園市第三選舉區,林佳瑋,https://www.facebook.com/cwfor2020/,435406813706650,4495,not_verified,2019-06-03,"Taiwan (8)",1
桃園市第四選舉區,萬美玲,https://www.facebook.com/wanmeiling.tw/,119465751469140,12549,blue_verified,2011-05-13,"Taiwan (2)",1
桃園市第四選舉區,鄭寶清,https://www.facebook.com/boching520/,1572448819666020,22324,blue_verified,2015-02-16,"Taiwan (10), Japan (2)",0
桃園市第四選舉區,林國政,https://www.facebook.com/taoyuan.goodbaba,649225952125201,2239,not_verified,2018-08-03,"Taiwan (3)",0
桃園市第五選舉區,呂玉玲,https://www.facebook.com/yuling616/,385459414829351,23181,blue_verified,2012-05-03,"Taiwan (2)",1
桃園市第五選舉區,蔣絜安,https://www.facebook.com/ChiangChiehAn/,1908955219181294,5831,not_verified,2018-09-18,"Taiwan (12)",1
桃園市第五選舉區,張誠,https://www.facebook.com/PhDChang/,1630273963894007,19790,not_verified,2015-08-26,"Taiwan (9)",7
桃園市第六選舉區,陳學聖,https://www.facebook.com/junglicity/,244784245612709,94870,blue_verified,2012-03-05,"Taiwan (7)",0
桃園市第六選舉區,趙正宇,https://www.facebook.com/JhengYuOfficeBlog,164769440270830,21125,blue_verified,2011-09-13,"Taiwan (2)",4
臺中市第一選舉區,蔡其昌,https://www.facebook.com/taichunggogogo/,281219301931458,206844,blue_verified,2012-01-20,"Taiwan (9)",0
臺中市第二選舉區,顏寬恒,https://www.facebook.com/kuanheng99/,1448047902111768,88606,blue_verified,2014-06-29,"Taiwan (9)",0
臺中市第二選舉區,陳柏惟,https://www.facebook.com/3Q.PehUi/,540113462988316,134183,not_verified,2017-11-24,"Taiwan (21)",1
