term,sessionPeriod,sessionTimes,name,clicks
"09","01","03",精神衛生法第四十一條及第四十二條條文修正草案,507
"09","06","01",勞動事件法草案,507
"09","07","05",公務人員退休資遣撫卹法第三十四條條文修正草案,507
"09","07","13",平均地權條例第四十七條、第八十一條之二及第八十七條條文修正草案,502
"09","01","08",臺灣地區與大陸地區人民關係條例第十七條條文修正草案,500
"09","03","04",礦業法修正草案,499
"09","01","05",國家安全法增訂第五條之二條文草案,496
"09","01","15",法院組織法增訂第十四條之一條文草案,496
"09","01","17",偏鄉教育條例草案,496
"09","02","07",農會法第二十五條之一條文修正草案,496
"09","01","06",公職人員選舉罷免法部分條文修正草案,493
"09","03","15",法院組織法第六十六條之二、第六十六條之四及第六十七條條文修正草案,493
"09","01","16",勞動基準法第十四條條文修正草案,491
"09","01","06",地方制度法部分條文修正草案,489
"09","01","12",促進轉型正義回復原住民族傳統領域土地條例草案,484
"09","01","05",公職人員利益衝突迴避法部分條文修正草案,482
"09","02","08",道路交通管理處罰條例增訂第五十六條之一條文草案,479
"09","04","01",陸海空軍軍官士官服役條例第六條條文修正草案,477
"09","01","03",兩岸協定締結條例草案,476
"09","01","06",陸海空軍軍官士官服役條例第二十四條及第三十四條條文修正草案,476
"09","03","01",行政院海岸巡防署海岸巡防總局各地區巡防局組織通則第十條條文修正草案,476
"09","03","06",金融科技發展與創新實驗條例草案,476
"09","04","14",交通部鐵道局組織法草案,476
"09","01","03",財團法人法草案,475
"09","01","06",漁業法部分條文修正草案,474
"09","02","15",海洋及漁業部組織法草案,473
"09","02","01",郵政法部分條文修正草案,471
"09","02","07",道路交通管理處罰條例第三十七條及第九十三條條文修正草案,468
"09","01","02",法院組織法刪除第六十三條之一條文草案,467
"09","02","10",中華民國刑法第五條條文修正草案,467
"09","05","11",陸海空軍軍官士官服役條例修正草案,467
"09","05","03",行政院組織法部分條文修正草案,466
"09","03","07",教保服務人員條例草案,465
"09","04","04",刑事訴訟法部分條文修正草案,465
"09","02","05",勞動基準法第三十四條條文修正草案,464
"09","02","06",菸酒稅法第七條條文修正草案,464
"09","01","03",野生動物保育法第二十一條及第二十一條之一條文修正草案,463
"09","01","11",勞動基準法增訂第四十條之一條文草案,463
"09","03","05",財團法人法草案,463
"09","01","07",文化資產保存法修正草案,462
"09","01","08",集會遊行法部分條文修正草案,461
"09","01","09",廢棄物清理法第二十八條、第三十二條及第四十六條條文修正草案,461
"09","01","11",文化資產保存法部分條文修正草案,460
"09","04","06",國家安全法第二條之一及第五條之一條文修正草案,460
"09","02","06",銀行法增訂部分條文草案,459
"09","02","09",司法院、三終審法院、臺灣高等法院院本部及刑事庭遷建華山司法園區,458
"09","04","07",工廠管理輔導法第三十四條及第三十四條之一條文修正草案,458
"09","03","15",師資培育法第六條條文修正草案,457
"09","01","08",農田水利會組織通則增訂第十五條之一條文草案,456
"09","07","05",貨物稅條例第十二條之五條文修正草案,456
"09","03","07",組織犯罪防制條例部分條文修正草案,454
"09","03","01",公務人員保障法部分條文修正草案,453
"09","02","09",行政院資訊總處組織法草案,452
"09","04","04",藥事法增訂第四十八條之三條文草案,452
"09","04","14",口腔衛生人員法草案,452
"09","01","09",陸海空軍軍官士官服役條例部分條文修正草案,451
"09","03","15",交通部高速公路局組織法草案,451
"09","01","20",有機農糧產業促進條例草案,450
"09","01","12",關稅法部分條文修正草案,449
"09","02","10",勞動基準法第四十條及第四十條之一條文修正草案,447
"09","02","08",勞工退休金條例第五條、第四十六條及第四十八條條文修正草案,446
"09","02","08",中央行政機關組織基準法第十八條條文修正草案,446
"09","02","09",住宅法第三條條文修正草案,446
"09","05","03",中華民國刑法第七十七條條文修正草案,446
"09","02","13",環境品質感測物聯網發展布建及執法應用計畫,445
"09","02","06",證券交易法第二十八條之四條文修正草案,444
"09","03","10",醫療法部分條文修正草案,443
"09","02","01",住宅法修正草案,442
"09","01","18",反族群歧視法草案,441
"09","01","20",離島建設條例第二條條文修正草案,440
"09","03","03",兒童遊戲場安全管理條例草案,440
"09","01","08",文化資產保存法第五條條文修正草案,438
"09","01","14",國籍法部分條文修正草案,438
"09","04","11",促進轉型正義條例草案,438
"09","02","07",勞動基準法第八十四條之一條文修正草案,436
"09","05","07",公教人員保險法第四十八條條文修正草案,435
"09","01","10",動物保護法第十二條及第二十七條條文修正草案,434
"09","02","15",電業法修正草案,433
"09","04","09",勞動基準法第二十四條及第三十八條條文修正草案,433
"09","06","14",著作權法第八十七條及第九十三條條文修正草案,433
"09","03","03",財團法人法草案,432
"09","04","14",口腔衛生人員法草案,432
"09","02","08",資通安全管理法草案,431
"09","02","17",貨物稅條例第十二條之三及第三十七條條文修正草案,431
"09","07","11",境外資金匯回管理運用及課稅條例草案,431
"09","01","17",高級中等教育法第三十一條條文修正草案,430
"09","02","06",勞動基準法第三十八條及第八十條之一條文修正草案,428
"09","01","11",公教人員保險法第四十八條條文修正草案,427
"09","03","07",公益揭發保護法草案,427
"09","04","12",立法院程序委員會組織規程第五條條文修正草案,427
"09","01","14",動物保護法部分條文修正草案,425
"09","01","15",公務人員退休法增訂第二十三條之一條文草案,425
"09","01","03",文化資產保存法部分條文修正草案,423
"09","02","13",勞動基準法增訂第三十二條之一條文草案,423
"09","01","12",公路法第七十二條條文修正草案,421
"09","01","21",空氣污染防制法第二十八條及第五十八條條文修正草案,421
"09","02","05",加值型及非加值型營業稅法部分條文修正草案,421
"09","05","07",營業秘密法第十三條之四及第十五條條文修正草案,420
"09","03","05",陸海空軍軍官士官服役條例第六條條文修正草案,419
"09","04","15",醫療器材管理法草案,419
"09","05","03",國家語言發展法草案,419
"09","01","06",兩岸協議監督條例草案,418
"09","01","11",國籍法第四條、第九條及第十九條條文修正草案,418
"09","01","15",動物保護法部分條文修正草案,418
"09","02","05",土地徵收條例第五十七條條文修正草案,417
"09","04","14",法院組織法第一百十四條之二條文及第七十三條附表修正草案,417
"09","04","14",國家語言發展法草案,417
"09","04","15",勞動訴訟程序法草案,417
"09","02","15",廢棄物清理法第三十八條及第五十三條條文修正草案,415
"09","02","12",生技新藥產業發展條例第三條條文修正草案,413
"09","01","17",私立學校法部分條文修正草案,412
"09","04","01",振興國防產業條例草案,412
"09","04","15",公司法第二十七條及第一百七十七條條文修正草案,411
"09","01","08",高級中等教育法部分條文修正草案,410
"09","01","07",國軍老舊眷村改建條例增訂第二十三條之一條文草案,409
"09","01","13",社會秩序維護法第八十五條條文修正草案,409
"09","01","18",水土保持法第十四條之一條文修正草案,409
"09","03","01",環境教育法部分條文修正草案,409
"09","01","12",政治獻金法第二十一條條文修正草案,408
"09","01","14",廢棄物清理法部分條文修正草案,408
"09","01","18",真相與和解促進條例草案,406
"09","02","05",資通安全管理法草案,406
"09","04","01",金融科技創新實驗條例草案,406
"09","01","07",食品安全衛生管理法部分條文修正草案,405
"09","02","12",政風機構人員設置管理條例第九條條文修正草案,405
"09","02","14",公民投票法部分條文修正草案,405
"09","01","07",文化資產保存法部分條文修正草案,404
"09","04","14",糾纏行為防制法草案,404
"09","05","08",文化內容策進院設置條例草案,404
"09","01","12",電業法增訂第十六條之一條文草案,403
"09","02","10",勞動基準法第三十八條條文修正草案,401
"09","05","05",廢止國史館組織條例,401
"09","01","10",文化資產保存法部分條文修正草案,399
"09","03","06",空氣污染防制法第七十八條條文修正草案,399
"09","01","21",洗錢防制法修正草案,397
"09","01","10",票據法第一百二十三條及第一百四十四條之二條文修正草案,396
"09","01","11",律師法第十一條及第二十一條條文修正草案,396
"09","04","14",中華民國刑法第十條條文修正草案,395
"09","01","09",停車場法第三十二條及第四十條之一條文修正草案,394
"09","02","07",殯葬管理條例增訂第二十一條之一條文草案,394
"09","08","04",廢止印花稅法,394
"09","01","18",勞動基準法第八十四條之一條文修正草案,393
"09","05","07",法院組織法部分條文修正草案,393
"09","05","13",不動產經紀業管理條例第二十四條之一、第二十九條及第四十條條文修正草案,390
"09","02","10",全民健康保險法第六條條文修正草案,389
"09","04","05",工廠輔導管理法第三十三條、第三十四條及第三十四條之一條文修正草案,388
"09","03","10",菸酒稅法第七條條文修正草案,387
"09","01","19",農業部農業藥物毒物試驗所組織法草案,386
"09","01","17",納稅者權利保護法草案,385
"09","03","05",殯葬管理條例第六十四條及第六十五條條文修正草案,385
"09","01","11",學校教職員退休條例第十四條條文修正草案,384
"09","02","01",入出國及移民法部分條文修正草案,383
"09","02","07",鐵路法第七十一條條文修正草案,383
"09","02","14",加值型及非加值型營業稅法部分條文修正草案,383
"09","04","10",毒性化學物質管理法部分條文修正草案,382
"09","07","11",政府採購法增訂第一百零一條之一條文草案,382
"09","01","19",族群平等法草案,381
"09","03","04",產業創新條例部分條文修正草案,381
"09","05","04",內政服務雲整合計畫,381
"09","01","13",公職人員選舉罷免法第二十七條條文修正草案,380
"09","07","06",考試院組織法增訂第五條之一條文草案,378
"09","05","10",陸海空軍軍官士官服役條例部分條文修正草案,376
"09","01","07",國籍法第九條條文修正草案,375
"09","03","01",國家藥物審查中心設置條例草案,375
"09","05","14",專利法增訂第六十條之一條文草案,375
"09","07","12",中華民國刑法部分條文修正草案,375
"09","01","11",財團法人法草案,372
"09","03","15",科學技術基本法第六條、第十三條及第十七條條文修正草案,372
"09","01","21",海岸巡防法第五條條文修正草案,371
"09","04","08",道路交通管理處罰條例第十八條之一條文修正草案,369
"09","03","15",毒品危害防制條例增訂第二十九條之一條文草案,366
"09","04","04",刑事訴訟法部分條文修正草案,366
"09","02","14",廢棄物清理法第五條條文修正草案,365
